County,Date,Temperature,Precipitation,Wind,Gust Wind
Mariposa,2012-11,57.02,0.0,3.12,0.15
Mariposa,2012-12,50.19,0.0,4.62,0.31
Mariposa,2013-01,46.19,0.0,2.77,0.26
Mariposa,2013-02,50.3,0.0,2.97,0.24
Mariposa,2013-03,61.79,0.0,4.93,0.49
Mariposa,2013-04,67.43,0.0,6.92,1.75
Mariposa,2013-05,73.01,0.0,8.81,2.07
Mariposa,2013-06,81.11,0.0,8.73,1.66
Mariposa,2013-07,86.94,0.0,6.76,0.24
Mariposa,2013-08,82.81,0.0,7.27,0.61
Mariposa,2013-09,77.34,0.0,6.63,0.82
Mariposa,2013-10,65.72,0.0,3.45,0.11
Mariposa,2013-11,57.39,0.0,2.49,0.0
Mariposa,2013-12,46.43,0.0,2.29,0.0
Mariposa,2014-01,52.0,0.0,2.44,0.0
Mariposa,2014-02,55.88,0.0,4.91,0.44
Mariposa,2014-03,61.76,0.01,5.88,0.87
Mariposa,2014-04,66.67,0.03,6.96,0.85
Mariposa,2014-05,74.42,0.0,8.94,1.66
Mariposa,2014-06,81.41,0.0,8.17,0.81
Mariposa,2014-07,86.61,0.0,7.37,0.12
Mariposa,2014-08,84.18,0.0,6.58,0.2
Mariposa,2014-09,80.25,0.01,6.27,0.16
Mariposa,2014-10,71.35,0.0,4.42,0.33
Mariposa,2014-11,56.61,0.03,3.06,0.0
Mariposa,2014-12,51.04,0.07,4.04,0.09
Mariposa,2015-01,47.56,0.01,2.36,0.0
Mariposa,2015-02,55.62,0.04,3.91,0.07
Mariposa,2015-03,63.72,0.0,5.45,0.48
Mariposa,2015-04,64.32,0.04,6.98,1.08
Mariposa,2015-05,68.4,0.02,7.63,0.58
Mariposa,2015-06,82.47,0.0,7.55,0.5
Mariposa,2015-07,82.9,0.01,8.13,0.61
Mariposa,2015-08,82.16,0.0,7.61,0.36
Mariposa,2015-09,78.21,0.0,5.81,0.27
Mariposa,2015-10,70.58,0.02,4.85,0.09
Mariposa,2015-11,50.98,0.06,3.66,0.17
Mariposa,2015-12,45.16,0.1,4.11,0.04
Mariposa,2016-01,49.29,0.12,4.53,0.2
Mariposa,2016-02,54.41,0.04,3.33,0.11
Mariposa,2016-03,58.34,0.09,5.74,0.6
Mariposa,2016-04,64.51,0.04,7.22,1.56
Mariposa,2016-05,71.12,0.01,7.76,1.07
Mariposa,2016-06,81.07,0.0,8.66,0.53
Mariposa,2016-07,84.1,0.0,7.81,0.25
Mariposa,2016-08,82.34,0.0,6.88,0.03
Mariposa,2016-09,76.05,0.0,5.59,0.24
Mariposa,2016-10,65.88,0.02,6.08,0.78
Mariposa,2016-11,56.39,0.05,4.21,0.46
Mariposa,2016-12,46.38,0.08,3.93,0.12
Mariposa,2017-01,47.89,0.18,5.51,0.32
Mariposa,2017-02,53.76,0.09,7.01,0.43
Mariposa,2017-03,58.44,0.03,5.4,1.17
Mariposa,2017-04,61.82,0.11,8.32,2.15
Mariposa,2017-05,70.99,0.0,7.97,1.07
Mariposa,2017-06,80.76,0.0,8.38,0.72
Mariposa,2017-07,86.62,0.0,7.37,0.21
Mariposa,2017-08,84.83,0.0,6.97,0.1
Mariposa,2017-09,76.74,0.01,6.47,0.33
Mariposa,2017-10,65.21,0.0,4.11,0.4
Mariposa,2017-11,57.36,0.01,4.12,0.2
Mariposa,2017-12,46.8,0.0,2.62,0.2
Mariposa,2018-01,51.55,0.04,4.07,0.26
Mariposa,2018-02,52.45,0.01,4.29,0.46
Mariposa,2018-03,56.43,0.14,6.39,0.67
Mariposa,2018-04,64.47,0.02,7.49,1.61
Mariposa,2018-05,70.92,0.0,8.53,0.84
Mariposa,2018-06,79.65,0.0,7.93,0.75
Mariposa,2018-07,87.96,0.0,7.75,0.19
Mariposa,2018-08,82.8,0.0,7.35,0.12
Mariposa,2018-09,77.57,0.0,6.02,0.03
Mariposa,2018-10,67.47,0.0,4.33,0.12
Mariposa,2018-11,54.45,0.06,2.91,0.02
Mariposa,2018-12,49.25,0.02,2.86,0.05
Mariposa,2019-01,51.43,0.07,4.45,0.3
Mariposa,2019-02,49.1,0.12,6.77,0.98
Mariposa,2019-03,56.9,0.04,6.32,0.62
Mariposa,2019-04,66.97,0.01,6.96,1.28
Mariposa,2019-05,66.34,0.08,7.26,0.54
Mariposa,2019-06,80.83,0.0,8.09,0.67
Mariposa,2019-07,84.35,0.0,7.88,0.25
Mariposa,2019-08,84.49,0.0,7.54,0.11
Mariposa,2019-09,76.9,0.0,6.93,0.44
Mariposa,2019-10,64.96,0.0,4.44,0.1
Mariposa,2019-11,56.86,0.02,3.69,0.27
Mariposa,2019-12,50.51,0.08,4.35,0.12
Mariposa,2020-01,47.8,0.02,3.57,0.1
Mariposa,2020-02,54.38,0.0,3.56,0.27
Mariposa,2020-03,56.05,0.07,5.95,0.29
Mariposa,2020-04,64.04,0.06,7.16,0.81
Mariposa,2020-05,73.48,0.0,8.18,1.09
Mariposa,2020-06,79.88,0.0,8.44,1.54
Mariposa,2020-07,84.82,0.0,7.56,0.19
Mariposa,2020-08,85.88,0.0,6.68,0.08
Mariposa,2020-09,79.37,0.0,4.68,0.05
Mariposa,2020-10,70.69,0.0,3.51,0.0
Mariposa,2020-11,54.38,0.01,3.6,0.08
Mariposa,2020-12,47.91,0.04,3.76,0.03
Mariposa,2021-01,49.31,0.11,4.4,0.2
Mariposa,2021-02,53.55,0.01,5.22,0.33
Mariposa,2021-03,55.98,0.04,5.65,0.76
Mariposa,2021-04,65.8,0.01,6.4,0.35
Mariposa,2021-05,73.55,0.0,8.68,1.53
Mariposa,2021-06,82.56,0.0,8.46,0.67
Mariposa,2021-07,88.67,0.0,7.64,0.32
Mariposa,2021-08,84.74,0.0,6.68,0.23
Mariposa,2021-09,79.28,0.0,5.83,0.15
Mariposa,2021-10,64.57,0.04,5.27,0.93
Mariposa,2021-11,55.61,0.01,3.35,0.0
Mariposa,2021-12,47.46,0.12,5.07,0.12
Mendocino,2010-01,46.41,0.0,3.51,1.69
Mendocino,2010-02,47.83,0.0,2.58,0.8
Mendocino,2010-03,49.01,0.0,4.35,0.95
Mendocino,2010-04,50.85,0.0,5.29,2.28
Mendocino,2010-05,55.31,0.0,5.77,2.21
Mendocino,2010-06,63.17,0.0,4.95,1.23
Mendocino,2010-07,61.09,0.0,4.86,0.27
Mendocino,2010-08,60.77,0.0,4.33,0.2
Mendocino,2010-09,63.53,0.0,3.06,0.29
Mendocino,2010-10,58.64,0.0,3.27,0.38
Mendocino,2010-11,50.63,0.0,3.37,0.49
Mendocino,2010-12,48.54,0.0,3.05,0.91
Mendocino,2011-01,44.5,0.0,1.97,0.01
Mendocino,2011-02,46.13,0.0,4.22,1.73
Mendocino,2011-03,50.71,0.0,4.96,1.98
Mendocino,2011-04,54.47,0.0,5.2,2.23
Mendocino,2011-05,56.2,0.0,5.31,1.69
Mendocino,2011-06,61.34,0.0,3.96,0.33
Mendocino,2011-07,63.72,0.0,4.87,0.19
Mendocino,2011-08,60.84,0.0,3.91,0.02
Mendocino,2011-09,62.86,0.0,2.93,0.07
Mendocino,2011-10,58.38,0.0,2.35,0.11
Mendocino,2011-11,47.22,0.0,2.67,0.89
Mendocino,2011-12,43.45,0.0,3.01,1.3
Mendocino,2012-01,44.29,0.0,2.47,0.7
Mendocino,2012-02,48.76,0.0,4.3,1.65
Mendocino,2012-03,49.88,0.0,5.44,2.26
Mendocino,2012-04,54.17,0.0,4.58,1.65
Mendocino,2012-05,60.05,0.0,5.59,2.5
Mendocino,2012-06,64.49,0.0,6.02,2.75
Mendocino,2012-07,62.7,0.0,4.27,0.1
Mendocino,2012-08,61.76,0.0,4.1,0.07
Mendocino,2012-09,57.16,0.0,2.96,0.0
Mendocino,2012-10,58.69,0.0,2.84,0.26
Mendocino,2012-11,51.61,0.0,3.09,1.23
Mendocino,2012-12,45.82,0.0,3.81,1.4
Mendocino,2013-01,40.94,0.0,2.51,0.42
Mendocino,2013-02,44.36,0.0,3.12,0.46
