Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/14/2018,AQS,180030004,1,7.4,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/17/2018,AQS,180030004,1,11.1,ug/m3 LC,46,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/20/2018,AQS,180030004,1,4.9,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/23/2018,AQS,180030004,1,5,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/26/2018,AQS,180030004,1,10.6,ug/m3 LC,44,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
5/29/2018,AQS,180030004,1,13.2,ug/m3 LC,53,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/1/2018,AQS,180030004,1,6,ug/m3 LC,25,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/4/2018,AQS,180030004,1,2.9,ug/m3 LC,12,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/7/2018,AQS,180030004,1,9.2,ug/m3 LC,38,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/10/2018,AQS,180030004,1,8,ug/m3 LC,33,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/13/2018,AQS,180030004,1,7.1,ug/m3 LC,30,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/16/2018,AQS,180030004,1,13.5,ug/m3 LC,54,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/19/2018,AQS,180030004,1,8.9,ug/m3 LC,37,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/22/2018,AQS,180030004,1,8.5,ug/m3 LC,35,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/25/2018,AQS,180030004,1,8.2,ug/m3 LC,34,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
6/28/2018,AQS,180030004,1,10.5,ug/m3 LC,44,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/1/2018,AQS,180030004,1,11,ug/m3 LC,46,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/4/2018,AQS,180030004,1,15.8,ug/m3 LC,59,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/7/2018,AQS,180030004,1,4.5,ug/m3 LC,19,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/10/2018,AQS,180030004,1,11.3,ug/m3 LC,47,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/13/2018,AQS,180030004,1,11.5,ug/m3 LC,48,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/16/2018,AQS,180030004,1,7.9,ug/m3 LC,33,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/19/2018,AQS,180030004,1,7.3,ug/m3 LC,30,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/22/2018,AQS,180030004,1,6.9,ug/m3 LC,29,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/25/2018,AQS,180030004,1,7.7,ug/m3 LC,32,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/28/2018,AQS,180030004,1,7.7,ug/m3 LC,32,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
7/31/2018,AQS,180030004,1,10.9,ug/m3 LC,45,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/3/2018,AQS,180030004,1,8.4,ug/m3 LC,35,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/6/2018,AQS,180030004,1,10.2,ug/m3 LC,43,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/9/2018,AQS,180030004,1,7.8,ug/m3 LC,33,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/12/2018,AQS,180030004,1,12.4,ug/m3 LC,52,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/15/2018,AQS,180030004,1,18,ug/m3 LC,63,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/18/2018,AQS,180030004,1,11.1,ug/m3 LC,46,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/21/2018,AQS,180030004,1,8.5,ug/m3 LC,35,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/24/2018,AQS,180030004,1,9,ug/m3 LC,38,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/27/2018,AQS,180030004,1,19.2,ug/m3 LC,66,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
8/30/2018,AQS,180030004,1,5.1,ug/m3 LC,21,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/2/2018,AQS,180030004,1,6.2,ug/m3 LC,26,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/5/2018,AQS,180030004,1,7.8,ug/m3 LC,33,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/8/2018,AQS,180030004,1,4.8,ug/m3 LC,20,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/11/2018,AQS,180030004,1,3.6,ug/m3 LC,15,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/14/2018,AQS,180030004,1,9.3,ug/m3 LC,39,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/17/2018,AQS,180030004,1,7,ug/m3 LC,29,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/20/2018,AQS,180030004,1,13,ug/m3 LC,53,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/23/2018,AQS,180030004,1,6.5,ug/m3 LC,27,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/26/2018,AQS,180030004,1,3.3,ug/m3 LC,14,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
9/29/2018,AQS,180030004,1,4.1,ug/m3 LC,17,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/1/2018,AQS,180030004,3,10.4,ug/m3 LC,43,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/2/2018,AQS,180030004,3,11.2,ug/m3 LC,47,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/3/2018,AQS,180030004,3,12.9,ug/m3 LC,53,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/4/2018,AQS,180030004,3,4.1,ug/m3 LC,17,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/5/2018,AQS,180030004,3,12.2,ug/m3 LC,51,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/6/2018,AQS,180030004,3,17.1,ug/m3 LC,62,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/7/2018,AQS,180030004,3,9.4,ug/m3 LC,39,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/8/2018,AQS,180030004,3,11.1,ug/m3 LC,46,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/9/2018,AQS,180030004,3,22.3,ug/m3 LC,72,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/10/2018,AQS,180030004,3,10.2,ug/m3 LC,43,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/11/2018,AQS,180030004,3,0.7,ug/m3 LC,3,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/12/2018,AQS,180030004,3,0.6,ug/m3 LC,3,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/13/2018,AQS,180030004,3,2.1,ug/m3 LC,9,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/14/2018,AQS,180030004,3,7.5,ug/m3 LC,31,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/15/2018,AQS,180030004,3,9.5,ug/m3 LC,40,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/16/2018,AQS,180030004,3,9,ug/m3 LC,38,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/17/2018,AQS,180030004,3,15,ug/m3 LC,57,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/18/2018,AQS,180030004,3,13.3,ug/m3 LC,54,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/19/2018,AQS,180030004,3,12.7,ug/m3 LC,52,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
1/20/2018,AQS,180030004,3,8.1,ug/m3 LC,34,Ft. Wayne- Beacon St.,1,100,88101,PM2.5 - Local Conditions,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.0949655,-85.10181631
